nama_kategori,nama_produk,satuan,stok_minimum,status_aktif
Beras & Tepung,Beras IR64 Super 5kg,karung,10,true
Beras & Tepung,Tepung Sagu Tani Cap Gunung 500g,bungkus,15,true
Beras & Tepung,Beras Hitam Organik 1kg,bungkus,5,true
Beras & Tepung,Tepung Panir MamaSuka 250g,bungkus,12,true
Beras & Tepung,Premiks Brownies Pondan,kotak,8,true
Minyak Goreng,Minyak Goreng Rosebrand 2L,pouch,12,true
Minyak Goreng,Minyak Goreng Sovia 1L,pouch,18,true
Minyak Goreng,Minyak Canola Mazola 900ml,botol,5,true
Minyak Goreng,Margarin Forvita 200g,bungkus,20,true
Minyak Goreng,Mentega Anchor Unsalted 227g,bungkus,4,true
Gula & Garam,Gula Pasir Aruna 1kg,bungkus,25,true
Gula & Garam,Gula Merah Nira Kelapa 500g,bungkus,10,true
Gula & Garam,Garam Laut Kasar 1kg,bungkus,15,true
Gula & Garam,Gula Stevia Tropicana 50 Sachet,kotak,6,true
Gula & Garam,Gula Donat Halus Rose Brand 500g,bungkus,10,true
Susu & Olahan,Susu UHT Diamond Full Cream 1L,kotak,10,true
Susu & Olahan,Susu Bubuk Hilo Teen 500g,kotak,8,true
Susu & Olahan,Keju Mozzarella Perfetto 200g,bungkus,6,true
Susu & Olahan,Yogurt Heavenly Blush Greek 200ml,botol,10,true
Susu & Olahan,Susu Kental Manis Cap Enaak Sachet,pack,30,true
Bumbu Dapur,Saus Padang ABC 335ml,botol,12,true
Bumbu Dapur,Kecap Manis Sedaap 520ml,pouch,15,true
Bumbu Dapur,Bumbu Gulai Indofood Sachet,pack,20,true
Bumbu Dapur,Saus Bulgogi Saori 130ml,botol,8,true
Bumbu Dapur,Penyedap Rasa Ajinomoto 250g,bungkus,25,true
Minuman sachet & Botol,Kopi ABC Susu Sachet Renceng,pack,18,true
Minuman sachet & Botol,Teh Celup Tong Tji Premium 25s,kotak,20,true
Minuman sachet & Botol,Sirup ABC Squash Delight Anggur,botol,12,true
Minuman sachet & Botol,Air Mineral Club 600ml,dus,8,true
Minuman sachet & Botol,Minuman Nutrisari Jeruk Sachet,pack,15,true
Mie Instan,Indomie Goreng Sambal Matah,bungkus,50,true
Mie Instan,Mie Sedaap Korean Spicy Chicken,bungkus,40,true
Mie Instan,Sarimi Isi 2 Rasa Tongseng Ayam,bungkus,35,true
Mie Instan,Pop Mie Kari Ayam Cup,dus,6,true
Mie Instan,Bihun Jagung Rose Brand 350g,bungkus,15,true
Sabun & Deterjen,Deterjen Attack Easy 800g,bungkus,18,true
Sabun & Deterjen,Sabun Mandi Nuvo Family 80g,batang,30,true
Sabun & Deterjen,Sampo Dove Nourishing 160ml,botol,10,true
Sabun & Deterjen,Sabun Cuci Piring Ekonomi Cream,bungkus,25,true
Sabun & Deterjen,Pembersih Lantai SOS Orange 750ml,pouch,12,true
